"popularity_score","title","artist","year","decade","original_vocal","categories","Social_singing","artist_review_flag","cleanup_notes","removed_reason","duplicate_key","kept_popularity"
"24","Bad, Bad Leroy Brown","Jim Croce","","","","","","","swapped title/artist","lower popularity duplicate","bad bad leroy brown::jim croce","25"
"6","Lovin' Touchin' Squeezin'","Journey","1979","70s","","Rock, Hard Rock, Pop Rock, Classic Rock, Pop, Metal / Hard Rock","","","","lower popularity duplicate","lovin touchin squeezin::journey","14"
"1","Scandalous","Mis-Teeq","","","","","","","","tied popularity duplicate","scandalous::mis teeq","1"
"1","Holdin' You","Gretchen Wilson","","","","","","","","lower popularity duplicate","holdin you::gretchen wilson","7"
"1","Rock With You","Michael Jackson","","","","","","","","lower popularity duplicate","rock with you::michael jackson","26"
"6","I Don'T Care","Fall Out Boy","2008","2000s","","Rock, Alternative Rock, Pop Rock, Pop, Emo, Emo / Pop Punk, Alternative / Indie","","","","lower popularity duplicate","i don t care::fall out boy","1000"
"18","Stay (I Missed You)","Lisa Loeb","1998","90s","Female","Rock, Pop Rock","","","","lower popularity duplicate","stay i missed you::lisa loeb","1000"
"2","Take It All","Adele","2011","2010s","Female","Pop, R&B, Soul","","","","lower popularity duplicate","take it all::adele","1000"
"2","Picture You","Chappell Roan","2023","2020s","Female","Pop, Singer-Songwriter, Synth-Pop","","","","lower popularity duplicate","picture you::chappell roan","1000"
"2","Manchild","Sabrina Carpenter","2025","2020s","Female","Pop Rock, Pop","","","","lower popularity duplicate","manchild::sabrina carpenter","1000"
"1","A Quick Death in Texas","Clutch","2015","2010s","","Rock, Hard Rock, Metal, Metal / Hard Rock","","","","lower popularity duplicate","a quick death in texas::clutch","1000"
"18","The Regulator","Clutch","2004","2000s","","Rock, Hard Rock, Metal, Metal / Hard Rock","","","","lower popularity duplicate","the regulator::clutch","1000"
"1","Electric Funeral","Black Sabbath","1970","70s","","Rock, Hard Rock, Heavy Metal, Metal, Metal / Hard Rock","","","","lower popularity duplicate","electric funeral::black sabbath","1000"
"16","Electric Worry","Clutch","2007","2000s","","Rock, Hard Rock, Blues Rock, Metal / Hard Rock","","","","lower popularity duplicate","electric worry::clutch","1000"
"1","Don'T You Remember","Adele","2011","2010s","Female","Pop, R&B, Soul","","","","lower popularity duplicate","don t you remember::adele","1000"
"3","Anxiety","Megan Thee Stallion","2022","2020s","Female","Hip-Hop, Pop Rap, Trap, Hip-Hop / Rap","","","","lower popularity duplicate","anxiety::megan thee stallion","1000"
"1","Mutt","Blink-182","1998","90s","","Alternative Rock, Pop Rock, Pop Punk, Punk, Punk Rock, Emo / Pop Punk, Alternative / Indie","","","","lower popularity duplicate","mutt::blink 182","1000"
"6","Hate My Life","Theory of a Deadman","2008","2000s","","Rock, Alternative Rock, Hard Rock, Post-Grunge, Metal / Hard Rock, Alternative / Indie","","","","lower popularity duplicate","hate my life::theory of a deadman","1000"
"2","High School Never Ends","Bowling for Soup","2006","2000s","","Rock, Pop Rock, Pop Punk, Punk, Emo / Pop Punk","","","","lower popularity duplicate","high school never ends::bowling for soup","1000"
